loc_rowid,sy_snum,sy_pnum,sy_mnum,cb_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_metratio,st_lum,st_logg,st_age,st_rotp,glat,glon,sy_pmdec,sy_dist,sy_plx
565,2,2,0,0,491.54000000,1.360000,13.300,731.00900,1.710000,0.230000,,,0,G1 V,5972.00,2.29,1.38,[Fe/H],0.777,3.86,4.000,,10.84575,345.98514,-22.7969000,109.0550000,9.1421900
566,1,1,0,0,1027.00000000,2.450000,13.900,270.14400,0.553000,0.520000,,,0,G0/2 V,6308.00,1.21,1.22,[Fe/H],0.250,4.56,,,1.70153,337.02287,27.9275000,57.1289000,17.4755000
567,1,2,0,0,328.55000000,0.993000,13.700,390.93090,0.835000,0.587000,,,0,F8,6032.00,1.34,1.21,[Fe/H],0.330,4.16,2.410,,37.67784,27.05066,1.5697200,77.1971000,12.9252000
568,1,2,0,0,5062.00000000,6.150000,12.800,1640.00280,4.300000,0.125000,,,0,F8,6032.00,1.34,1.21,[Fe/H],0.330,4.16,2.410,,37.67784,27.05066,1.5697200,77.1971000,12.9252000
569,1,1,0,0,331.50000000,1.040000,13.600,413.17900,0.903000,0.160000,,,0,K0 III/IV,5025.00,3.86,1.64,[Fe/H],0.780,3.48,2.500,,23.58167,2.41734,2.8878800,71.3499000,13.9869000
570,1,1,0,0,2.87589000,0.043640,8.295,120.77540,0.750000,0.000000,,1626,0,G0,6179.00,1.41,1.42,[Fe/H],0.480,4.37,2.600,,43.28357,61.29711,52.5643000,75.8643000,13.1526000
571,1,1,0,0,4.07182000,0.053000,13.600,422.71390,0.923000,0.016700,,,0,G0,5856.00,1.44,1.20,[Fe/H],0.350,4.25,4.280,,31.48148,17.51640,-86.7391000,73.2801000,13.6179000
572,1,1,0,0,428.50000000,1.262000,13.200,874.03250,2.090000,0.031000,,,0,K0,4947.00,4.67,1.46,[Fe/H],1.064,3.18,2.400,,-48.08435,111.21656,-16.9449000,190.9530000,5.2095100
573,1,1,0,0,5894.00000000,6.700000,13.200,861.28000,2.060000,0.380000,,,0,G0 V,5961.00,0.96,1.17,[Fe/H],0.032,4.50,3.000,,32.63799,113.00653,-86.9714000,28.2697000,35.3446000
574,1,1,0,0,2918.92000000,4.187000,13.200,845.74563,2.020000,0.532000,,,0,G6 V,5907.00,1.13,1.15,[Fe/H],0.107,4.37,1.622,31.00,-1.56882,339.89168,-93.4777000,87.8888000,11.3494000
575,1,1,0,0,686.50000000,1.660000,13.400,594.02427,1.360000,0.040000,,,0,K0,5027.00,5.14,1.30,[Fe/H],1.173,3.29,12.000,,31.49074,30.61159,-15.0864000,165.7600000,6.0043800
576,1,2,0,0,11.62640000,0.105300,3.410,11.56000,1.580000,0.140000,255.70,1120,0,G0,6310.00,1.43,1.15,[Fe/H],0.450,4.19,3.970,,34.38475,40.17116,44.6894000,107.8980000,9.2391400
577,1,2,0,0,24.38000000,,5.830,27.50000,0.820000,0.115000,,,0,G0,6310.00,1.43,1.15,[Fe/H],0.450,4.19,3.970,,34.38475,40.17116,44.6894000,107.8980000,9.2391400
578,1,2,0,0,4.75615000,0.052200,1.640,7.51000,9.300000,0.090000,161.67,1001,0,K1 V,5125.00,0.86,0.90,[Fe/H],-0.326,4.53,5.100,36.53,-68.70904,219.86213,-211.6140000,44.8155000,22.2848000
579,1,2,0,0,17.17840000,0.126800,2.390,8.11000,3.230000,0.050000,8.36,642,0,K1 V,5125.00,0.86,0.90,[Fe/H],-0.326,4.53,5.100,36.53,-68.70904,219.86213,-211.6140000,44.8155000,22.2848000
580,1,1,0,0,499.39999000,1.280000,13.200,937.59850,2.240000,0.340000,,,0,F8 V,6124.00,1.28,1.25,[Fe/H],0.346,4.32,4.300,,-1.23190,343.47641,-140.6940000,48.4549000,20.6090000
