num_star,2_stars,orbital_period,semi-major_axis,planet_radius,planet_mass,planet_eccen,planet_temp,star_temp,star_radius,star_mass,star_bright,star_age,latitude_gal,longitude_gal,distance,parallax,mass_ratio_sys,radius_ratio_sys,num_planet
1,0,3.65281514,0.0466,12.722,180.84527,0.023,1182.0,5519.0,0.92,1.01,-0.152,3.2,-27.44257,159.31431,300.384,3.30091,0.0005376142807421014,0.12651843926817358,1
1,0,4.23452,0.0479,7.062,22.2481,0.12,1001.0,5079.0,0.87,1.12,-0.359,9.0,59.87255,346.51303,141.837,7.02213,5.964306058320764e-05,0.07426680188928714,1
1,0,3.257215,0.0434,13.585,198.953,0.051,1384.0,5680.0,1.1,1.02,0.053,6.1,-28.1432,123.06375,401.319,2.46327,0.0005856462090517454,0.11299343711405346,1
2,0,5.72319,0.0667,13.115,279.6904,0.09,1271.0,6087.0,1.3,1.45,0.272,2.2,-9.10798,135.4706,313.576,3.16099,0.0005791546848355611,0.09230201979139281,1
2,0,2.8997,0.03866,10.536,206.5895,0.0,1189.0,5185.0,0.87,1.06,-0.36,1.6,66.69255,100.16678,134.554,7.40311,0.0005851771981748673,0.11080076815428055,1
2,0,2.8106,0.0419,16.141,263.7989,0.04,1630.0,6304.0,1.31,1.55,0.312,1.0,21.40542,217.41185,213.985,4.64498,0.0005110063513193532,0.11273153063991946,1
1,0,5.00542,0.061,12.218,721.4741,0.25,1450.0,6065.0,1.39,1.31,0.433,3.17,21.06338,52.72026,344.05,2.87789,0.0016536152369329019,0.08042139135289694,1
2,0,2.1500082,0.03397,22.194,216.1244,0.159,1836.0,6001.0,1.37,1.13,0.338,2.7,-14.37306,135.69851,289.205,3.43046,0.0005742623886241585,0.14821811184191627,1
2,0,3.47447,0.04995,20.737,292.4036,0.0,1782.0,6446.0,1.79,1.82,0.618,2.3,22.73004,185.30741,396.11,2.4966,0.00048238783065099805,0.10599348180101449,1
1,0,5.452654,0.06774,13.417,1058.3739,0.432,1520.0,6442.0,1.53,1.39,0.6,1.7,-8.75906,58.54106,249.325,3.98272,0.0022861742934340307,0.08023248634644521,1
3,0,3.646706,0.04978,14.93,335.62848,0.02,1581.0,6096.0,1.44,1.24,0.383,3.5,20.30811,218.07385,506.965,1.94478,0.0008126847996886101,0.09486009987139105,1
1,0,1.32734683,0.0241,14.314,587.41341,0.063,1781.0,5620.0,1.04,1.03,0.022,6.6,71.83707,133.41389,294.419,3.36776,0.0017123464904157332,0.1259255729407164,1
1,0,2.797436,0.0379,13.204,371.528,0.058,1271.0,5500.0,0.88,0.93,-0.208,3.6,19.98353,81.20831,390.594,2.53138,0.001199481673937841,0.13728058001968738,1
1,0,4.640382,0.0523,9.247,84.857,0.067,1082.0,5330.0,0.92,0.89,-0.208,10.1,-26.87267,144.22935,255.206,3.88991,0.0002862745120635405,0.09196006979349168,1
2,0,3.54387,0.0509,17.609,190.372,0.0,1752.0,6430.0,1.62,1.4,0.607,2.0,17.44627,201.4173,697.004,1.40636,0.00040828183006535947,0.09945026411462828,1
2,0,3.056536,0.04438,14.28,213.255,0.0,1686.0,5860.0,1.62,0.56,0.431,3.9,57.3363,58.47975,320.451,3.09194,0.0011433947963800904,0.08064908691901251,1
1,0,4.45724,0.0608,17.038,152.5584,0.0,1770.0,6080.0,1.94,1.03,0.778,2.7,-9.86299,97.34365,464.469,2.12459,0.0004447171895912958,0.08035319427143217,1
2,0,2.69405,0.04258,22.978,378.2177,0.0,1941.0,6390.0,2.05,2.56,0.628,2.2,-10.62609,43.84092,348.185,2.84386,0.0004435952630876068,0.10255211604647858,1
1,0,4.641878,0.0575,14.348,331.801,0.0,1428.0,5743.0,1.53,1.18,0.356,5.2,31.58211,223.004,405.238,2.43957,0.0008442687203347222,0.08579978490711754,1
1,0,3.3326414,0.0444,13.63,210.395,0.21,1353.0,5693.0,1.08,1.03,0.06,5.7,27.75424,215.48946,528.825,1.86227,0.0006133144625537543,0.11546712759518286,1
1,0,4.301219,0.0507,13.922,111.871,0.044,1108.0,5295.0,0.95,0.94,-0.194,7.5,64.52011,89.60271,347.85,2.84594,0.00035733428109923726,0.13408008791833392,2
1,0,3.128992,0.0452,15.984,283.492,0.049,1652.0,6330.0,1.32,1.26,0.4,2.0,5.98199,26.02156,298.64,3.3218,0.0006755465472798807,0.11078929572022025,1
1,0,4.463129,0.0577,14.392,156.684,0.123,1458.0,6120.0,1.4,1.28,0.391,2.5,9.63976,24.53129,290.736,3.41237,0.00036753584087481146,0.0940544561564753,1
1,0,2.69155,0.04378,17.822,699.226,0.0,2131.0,6820.0,2.06,2.22,0.814,1.5,-5.76833,66.92249,350.351,2.82576,0.0009456917714094185,0.07915447648467674,1
1,0,2.78849,0.04073,13.563,311.4734,0.0,1539.0,5960.0,1.12,1.04,0.187,2.6,22.14911,63.93673,303.336,3.26786,0.0008992338364852844,0.11079597943738485,1
1,0,3.1220109,0.0453,14.437,429.0705,0.115,1862.0,6280.0,1.7,1.27,0.603,3.37,18.9095,208.67365,515.458,1.91293,0.0010144016603128227,0.07769879740964944,1
1,0,4.2180278,0.05069,14.493,98.20947,0.123,1192.0,5449.0,1.04,0.98,-0.066,8.2,-29.55538,130.85829,440.089,2.24399,0.0003008931546156924,0.12750030240532367,1
1,0,2.7535953,0.03694,11.31,259.98494,0.047,1218.0,5131.0,0.89,0.89,-0.305,9.4,-26.98024,152.17845,361.155,2.74033,0.0008770880639472153,0.11626764079151572,1
1,0,1.9616241,0.03159,14.773,471.65972,0.134,1778.0,5956.0,1.21,1.09,0.217,4.67,-23.36944,130.55561,666.802,1.47114,0.0012992337894382406,0.11170422233652838,1
1,0,3.799847,0.04117,10.581,241.5508,0.074,818.0,4390.0,0.62,0.65,-0.902,3.9,8.89777,188.78409,143.651,6.93252,0.0011157840256797,0.1561425568896173,1
1,0,3.5852467,0.04604,13.249,184.97706,0.139,1313.0,5808.0,1.01,1.01,0.064,4.2,26.9685,49.58846,511.388,1.9266,0.0005498972080701282,0.12001844296501339,1
1,0,2.79083,0.0423,16.926,734.1873,0.29,1840.0,6566.0,1.47,1.42,0.553,2.01,10.42964,187.53757,320.639,3.09123,0.0015523996613770101,0.10534726467776415,1
3,0,2.4653,0.0406,19.504,448.1403,0.0,2200.0,6330.0,1.85,2.77,0.806,1.0,11.96776,38.82228,279.86,3.54505,0.0004857572009953663,0.09645799310526312,1
1,0,4.0138379,0.04994,14.93,118.23217,0.073,1622.0,6078.0,1.53,1.03,0.456,7.11,6.3006,150.04883,515.59,1.9123,0.00034465410204669364,0.08928009399660335,1
1,0,4.1419771,0.05064,12.588,489.45575,0.03,1278.0,5678.0,1.1,1.01,0.054,7.3,19.63991,94.0548,265.471,3.73805,0.0014550471847637253,0.10470087496442436,1
